,no_tasks,penalty_weight,cost_function_type,max_demand initial,max_demand final,max_demand reduction,PAR initial,PAR final,PAR reduction,objective initial,objective final,objective reduction,cost initial,cost final,cost reduction,Average run_time
heuristic,5,1,piece-wise,20805,16100.0,22.60%,5.87,4.54,22.70%,2728588.4,2383334.0,12.70%,2728588.4,2383318.0,12.70%,0.0
heuristic_fw,5,1,piece-wise,20805,12848.0,38.20%,5.87,3.62,38.30%,2728588.4,2385167.32,12.60%,2728588.4,2385124.36,12.60%,0.001
