,0,1
inconvenient,0.0,0.0
PAR,7.4,7.4
max_demand,24244.0,24244.0
total_demand,157158.0,157158.0
cost,2799785.2,2799785.2
step_size,1.0,0.0
run_time,0.0,0.00012874603271484375
objective,2799785.2,2799785.2
