,no_tasks,no_households,penalty_weight,cost_function_type,max_demand initial,max_demand final,max_demand reduction,PAR initial,PAR final,PAR reduction,objective initial,objective final,objective reduction,cost initial,cost final,cost reduction,Average run_time
heuristic,5,50,1,piece-wise,40605,71005.0,-75.00%,2.05,3.59,-75.00%,15430751.3,13309374.0,14.00%,15430751.3,13308570.0,14.00%,0.04
heuristic_fw,5,50,1,piece-wise,40605,26412.74678649147,35.00%,2.05,1.33,35.00%,15430751.3,13341282.017504763,14.00%,15430751.3,13341271.16,14.00%,-0.004
