,0,1,2,3,4
max_demand,57809.0,78755.0,81992.0,68139.0,66995.0
step_size,1.0,0.29300000000000015,0.199,0.08899999999999998,0.0
objective,17111457.4,15420802.0,15420304.0,15419615.0,15419457.0
total_demand,1101374.0,1101374.0,1101374.0,1101374.0,1101374.0
cost,17111457.4,15419290.0,15419257.0,15419240.0,15419251.0
PAR,2.52,3.43,3.57,2.97,2.92
run_time,0.0,0.001,0.0,0.002,0.0
inconvenient,0.0,1512.0,1047.0,375.0,206.0
