,no_tasks,no_households,penalty_weight,cost_function_type,max_demand initial,max_demand final,max_demand reduction,PAR initial,PAR final,PAR reduction,objective initial,objective final,objective reduction,cost initial,cost final,cost reduction,Average run_time
heuristic,5,100,1,piece-wise,67451,76495.0,-13.40%,1.8,2.04,-13.30%,28326211.2,25144921.0,11.20%,28326211.2,25144167.0,11.20%,0.1
heuristic_fw,5,100,1,piece-wise,67451,42962.38657178757,36.30%,1.8,1.15,36.10%,28326211.2,25239061.253979288,10.90%,28326211.2,25239040.65,10.90%,0.003
