,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
0,26584,31045,35535,29123,15407,29010,41763,19845,17625,4173,22446,34500,24626,36483,56002,19515,32211,50565,50051,42755,36243,55378,67451,62080,38049,42922,38855,50598,42049,51965,17835,28576,25254,67117,39881,44818,46854,39577,47354,49581,25889,33950,61653,30445,37182,31669,30690,32831
1,20178,36009,39691,33329,18881,22500,23136,36181,50806,29729,28452,59008,84109,87906,0,110367,136340,10,0,46,39564,0,0,0,29666,570,8495,0,7506,1,145399,178266,139573,0,51862,56,4,67644,0,0,54031,50261,0,55443,49048,34917,34816,32210
2,10151,34778,38045,35941,18961,23252,49086,25777,34821,37687,51246,57905,57766,13,30,33679,1,63680,67037,77536,77022,0,1,0,66295,69441,62109,70523,61249,25,38206,0,0,0,94925,81406,58237,52,63023,51601,41565,40262,0,50779,44362,40509,34816,32210
3,11478,30879,37186,26654,25081,31055,37908,53424,23717,17605,34182,23814,24541,41945,133103,123800,33,45,20,23186,36,32857,1,0,99451,115694,64877,63,50032,92121,76655,0,49177,12,3,50,102579,101971,50,2,50255,52850,0,55252,48835,36505,34816,32210
4,22311,35643,35756,41919,19285,25757,26378,19649,34537,8437,47558,51875,46666,51373,0,47935,65598,60080,10,49128,91820,97757,1,19194,30,0,18211,18,92952,107524,68817,0,47757,72,7,37456,23,90925,86076,56887,28451,27550,52098,34245,47799,33254,34981,32210
5,15506,48678,58761,40114,20316,31165,28833,22877,20373,17391,49518,28388,52253,58842,0,34092,25483,65,63044,102174,105034,99150,1,47037,47693,75,54890,50631,181,25,5,75751,91235,150,22,46235,8,2,98565,68862,37589,34600,52053,30778,37205,33244,34906,32210
6,12242,29742,32381,41083,29181,29190,27608,19049,23337,19937,25406,37932,72199,94268,0,29552,23233,65,58819,67357,21,26708,1,72207,70139,53976,59465,64083,54129,25,43743,80736,103545,62,22,51483,8,2,0,123358,65035,33066,52276,31772,37387,33154,34816,32210
7,10856,31928,34711,31849,24251,29567,44724,29492,27476,22777,28051,32920,36286,41439,55923,18947,27521,50169,75858,50680,10,59643,60409,40458,0,48170,44094,56334,47799,59365,33001,0,44009,77635,65,47132,55957,2,70713,61961,32607,27764,52194,30778,37555,34204,36516,32210
8,10229,28492,31304,33621,26839,34605,25163,16697,27061,15937,30411,33829,29590,31688,66832,28350,27526,49265,59051,54700,52422,55017,37356,41329,44946,53640,37172,50533,48354,44965,15135,20756,41989,76495,27,50955,54873,53531,0,62494,40039,32850,52053,30610,37037,33154,34878,32210
