,no_tasks,no_households,penalty_weight,cost_function_type,max_demand initial,max_demand final,max_demand reduction,PAR initial,PAR final,PAR reduction,objective initial,objective final,objective reduction,cost initial,cost final,cost reduction,Average run_time
heuristic,5,100,1,piece-wise,74643,113794.0,-52.50%,1.86,2.84,-52.70%,29967383.1,26973914.0,10.00%,29967383.1,26970504.0,10.00%,0.004
heuristic_fw,5,100,1,piece-wise,74643,47519.62185532858,36.30%,1.86,1.18,36.60%,29967383.1,27073257.057323705,9.70%,29967383.1,27073205.58,9.70%,0.001
