,no_tasks,penalty_weight,cost_function_type,max_demand initial,max_demand final,max_demand reduction,PAR initial,PAR final,PAR reduction,objective initial,objective final,objective reduction,cost initial,cost final,cost reduction,Average run_time
heuristic,5,1,piece-wise,53637,62116.0,-15.80%,2.52,2.92,-15.90%,15459768.4,14285379.0,7.60%,15459768.4,14285250.0,7.60%,0.001
heuristic_fw,5,1,piece-wise,53637,33949.64034382121,36.70%,2.52,1.6,36.50%,15459768.4,14302702.083993956,7.50%,15459768.4,14302666.01,7.50%,0.002
