,no_tasks,penalty_weight,cost_function_type,max_demand initial,max_demand final,max_demand reduction,PAR initial,PAR final,PAR reduction,objective initial,objective final,objective reduction,cost initial,cost final,cost reduction,Average run_time
heuristic,5,1,piece-wise,36719,36597.0,0.30%,1.91,1.9,0.50%,13817529.9,12914158.0,6.50%,13817529.9,12913806.0,6.50%,0.001
heuristic_fw,5,1,piece-wise,36719,23448.178000909433,36.10%,1.91,1.22,36.10%,13817529.9,12946072.882548004,6.30%,13817529.9,12946065.87,6.30%,0.001
