,average_run_time_per_iteration,no_iterations,no_households,no_tasks,penalty_weight,cost_function_type,max_demand initial,max_demand final,max_demand reduction,PAR initial,PAR final,PAR reduction,objective initial,objective final,objective reduction,cost initial,cost final,cost reduction
optimal,907.093,10,2000,5,1,piece-wise,982462,21767626.0,-21.156,1.22,27.13,-21.238,659295258.8,7357611561.9,-10.16,659295258.8,7355195625.9,-10.156
optimal_fw,0.001,10,2000,5,1,piece-wise,982462,915880.6675810976,0.068,1.22,1.14,0.066,659295258.8,601666626.2525849,0.087,659295258.8,601658496.02,0.087
heuristic,1.145,10,2000,5,1,piece-wise,982462,18609212.0,-17.941,1.22,23.19,-18.008,659295258.8,6895675494.7,-9.459,659295258.8,6894006884.7,-9.457
heuristic_fw,0.001,10,2000,5,1,piece-wise,982462,890381.7230938923,0.094,1.22,1.11,0.09,659295258.8,594980405.0228955,0.098,659295258.8,594974483.47,0.098
