,0,1,2,3,4,5,6,7,8,9,10
PAR,1.22,1.21,1.2,1.19,1.18,1.16,1.16,1.15,1.15,1.14,1.14
max_demand,982462.0,972661.94155,962959.6386830388,953354.1162871754,943844.4089772109,934429.5609976632,929757.4131926749,925108.6261267115,920483.082996078,915880.6675810976,915880.6675810976
total_demand,38510496.0,38510495.999999985,38510496.00000001,38510496.0,38510496.00000001,38510496.00000001,38510496.000000015,38510496.000000015,38510496.0,38510496.00000001,38510496.00000001
objective,659295258.8,645868066.84,633954196.5152,624945885.9677479,617694897.1032225,612127080.0078678,609173931.0547607,606481829.0867263,604080971.1530163,601666626.2525849,601666626.2525849
cost,659295258.8,645836714.36,633918235.29,624917074.29,617665864.89,612111110.96,609163787.4,606472621.69,604071791.67,601658496.02,601658496.02
step_size,1.0,0.01,0.01,0.01,0.01,0.01,0.005,0.005,0.005,0.005,0.0
inconvenient,0.0,31352.48,35961.2252,28811.677748,29032.213222520004,15969.047867774801,10143.654760661126,9207.396726196695,9179.483016369017,8130.232584918155,8130.232584918155
run_time,0.0,0.0011489391326904297,0.001194000244140625,0.0011649131774902344,0.001294851303100586,0.0011570453643798828,0.0007998943328857422,0.0007979869842529297,0.0008099079132080078,0.0008261203765869141,0.00043702125549316406
