,max_demand,total_demand,PAR,objective,cost,inconvenient,step_size,reschedule_time
0,2130022.0,80982852.0,0.79,1356907323.5,1356907323.5,0.0,1.0,0.0
1,2079210.1685500003,80982851.99999997,0.81,1309532613.56,1306430222.36,3102391.2,0.024,
2,2056341.8926959503,80982851.99999997,0.82,1287335044.3367999,1285640077.34,1694966.9968,0.011,
3,2033726.938876295,80982851.99999999,0.83,1270058853.9330351,1268620118.47,1438735.4630351998,0.011,
4,2011360.0895486558,80982852.00000001,0.84,1256192411.5399067,1254846625.73,1345785.8099066128,0.011,
5,1989241.3325636205,80982852.00000001,0.85,1246092436.476091,1244927365.82,1165070.6560910272,0.011,
6,1945730.601745461,80982852.0,0.87,1232894299.845566,1231106049.0,1788250.845565997,0.022,
7,1945730.601745461,80982852.0,0.87,1232894299.845566,1231106049.0,1788250.845565997,0.0,
8,1945730.601745461,80982852.0,0.87,1232894299.845566,1231106049.0,1788250.845565997,0.0,
9,1945730.601745461,80982852.0,0.87,1232894299.845566,1231106049.0,1788250.845565997,0.0,
