no_households,no_tasks,algorithm,penalty_weight,cost_function_type,max_demand initial,max_demand final,PAR initial,PAR final,objective initial,objective final,cost initial,cost final,Average run_time
10,5,heuristic,1,piece-wise,31481.5,29681.5,5.765000000000001,5.445,4295624.6,3661758.0,4295624.6,3661742.0,0.0
10,5,heuristic_fw,1,piece-wise,31481.5,17995.670887737917,5.765000000000001,3.3,4295624.6,3662989.131664176,4295624.6,3662954.51,0.001
50,5,heuristic,1,piece-wise,48075.0,57266.0,2.625,3.15,13783908.8,12249236.0,13783908.8,12248825.5,0.0005
50,5,heuristic_fw,1,piece-wise,48075.0,29387.976327700635,2.625,1.605,13783908.8,12271897.185749847,13783908.8,12271889.855,0.0015
100,5,heuristic,1,piece-wise,80764.0,240003.0,1.8050000000000002,5.48,33491495.099999998,29964302.5,33491495.099999998,29951379.0,0.001
100,5,heuristic_fw,1,piece-wise,80764.0,52665.906343592396,1.8050000000000002,1.1800000000000002,33491495.099999998,30078745.15808077,33491495.099999998,30078575.845,0.001
