,max_demand,total_demand,PAR,objective,cost,inconvenient,step_size,reschedule_time
0,465380.0,15987834.0,0.72,628316455.2,628316455.2,0.0,1.0,0.0
1,435059.8239246852,15987834.0,0.77,410079222.15,409290926.95,788295.1999999998,0.06699999999999999,
2,420013.0393127054,15987833.999999993,0.79,353159973.888,352774676.22,385297.66800000006,0.035,
3,406314.0124656223,15987834.0,0.82,321304366.316956,320971369.84,332996.476956,0.033,
4,397433.8730678869,15987834.000000002,0.84,305333095.767507,305114785.29,218310.477506968,0.022,
5,387968.6502559794,15987833.999999996,0.86,296635456.2685398,296474716.52,160739.74853983277,0.024,
6,383712.8421031636,15987833.999999996,0.87,291530759.3427661,291467693.48,63065.86276606184,0.011,
7,379520.7878400288,15987834.0,0.88,291832707.9255096,291785672.65,47035.275509573316,0.011,
8,375374.8461737885,15987834.000000002,0.89,288078182.0719694,288037920.26,40261.81196939469,0.011,
9,366880.69116748625,15987833.999999998,0.91,284652365.1683247,284611486.39,40878.77832470392,0.023,
10,366880.69116748625,15987833.999999998,0.91,284652365.1683247,284611486.39,40878.77832470392,0.0,
11,366880.69116748625,15987833.999999998,0.91,284652365.1683247,284611486.39,40878.77832470392,0.0,
