,max_demand,total_demand,PAR,objective,cost,inconvenient,step_size,reschedule_time
0,465380.0,15987834.0,0.72,628316455.2,628316455.2,0.0,1.0,0.0
1,433301.74128258444,15987834.000000004,0.77,414714215.43,413878857.83,835357.6,0.071,
2,419162.79209915805,15987834.0,0.79,358450865.0992,358089137.5,361727.59920000006,0.033,
3,409584.0319574345,15987834.000000004,0.81,335576859.8252184,335344229.26,232630.5652184,0.023,
4,400224.7762626319,15987834.000000004,0.83,316471253.697,316240711.6,230542.09699997678,0.023,
5,395427.3469474803,15987834.000000002,0.84,303284824.324836,303204601.23,80223.09483600028,0.012,
6,386805.00048861635,15987834.0,0.86,296989032.86191356,296861129.77,127903.09191360799,0.022,
7,378369.7270599259,15987834.0,0.88,293669020.8819779,293576376.75,92644.13197790062,0.022,
8,374236.4470622667,15987834.0,0.89,291542932.13454825,291503172.02,39760.114548243095,0.011,
9,370173.5041445818,15987834.000000002,0.9,288042764.61873996,288023208.38,19556.238739969325,0.011,
10,365799.5940948468,15987833.999999994,0.91,285833966.8251351,285805940.3,28026.52513512037,0.012,
11,365799.5940948468,15987833.999999994,0.91,285833966.8251351,285805940.3,28026.52513512037,0.0,
