,no_tasks,no_households,penalty_weight,cost_function_type,max_demand initial,max_demand final,max_demand reduction,PAR initial,PAR final,PAR reduction,objective initial,objective final,objective reduction,cost initial,cost final,cost reduction,Average run_time
heuristic,5,50,1,piece-wise,43053,41953.0,2.60%,2.44,2.37,2.90%,13551696.7,11879894.0,12.30%,13551696.7,11879798.0,12.30%,0.002
heuristic_fw,5,50,1,piece-wise,43053,26259.705549988026,39.00%,2.44,1.49,38.90%,13551696.7,11885560.3039551,12.30%,13551696.7,11885477.73,12.30%,0.002
