,no_tasks,no_households,penalty_weight,cost_function_type,max_demand initial,max_demand final,max_demand reduction,PAR initial,PAR final,PAR reduction,objective initial,objective final,objective reduction,cost initial,cost final,cost reduction,Average run_time
heuristic,5,100,1,piece-wise,81029,91785.0,-13.30%,2.01,2.28,-13.40%,29260234.8,27038016.0,7.60%,29260234.8,27037443.0,7.60%,0.001
heuristic_fw,5,100,1,piece-wise,81029,51420.922128603226,36.50%,2.01,1.28,36.30%,29260234.8,27108240.57808564,7.40%,29260234.8,27108225.19,7.40%,0.001
