,max_demand,total_demand,PAR,objective,cost,inconvenient,step_size,reschedule_time
0,253724.0,8585068.0,0.7,345556921.8,345556921.8,0.0,1.0,0.0
1,234820.57213385054,8585068.0,0.76,208980097.54,208657159.54,322937.99999999994,0.07699999999999999,
2,221739.0999330221,8585068.0,0.81,171081819.114,170875355.88,206463.234,0.056999999999999995,
3,212145.41438168977,8585068.0,0.84,156629257.78770402,156465109.77,164148.01770399997,0.044,
4,209814.06982349118,8585068.0,0.85,155195066.24180526,155164814.57,30251.671805256,0.011,
5,207516.40005543278,8585068.0,0.86,154299988.81161013,154270035.28,29953.53161014218,0.011,
6,205242.684654823,8585068.0,0.87,150991334.00115228,150962061.39,29272.611152288435,0.011,
7,203001.96612361996,8585068.0,0.88,151003292.36127734,150981708.96,21583.401277324825,0.011,
8,203001.96612361996,8585068.0,0.88,151003292.36127734,150981708.96,21583.401277324825,0.0,
9,203001.96612361996,8585068.0,0.88,151003292.36127734,150981708.96,21583.401277324825,0.0,
