no_households,algorithm,penalty_weight,cost_function_type,no_tasks,max_demand initial,max_demand final,PAR initial,PAR final,objective initial,objective final,cost initial,cost final,Average run_time
10,heuristic,1,piece-wise,5,22115,20316.0,4.779999999999999,4.455,3578166.9,3152732.0,3578166.9,3152709.0,0.0005
10,heuristic_fw,1,piece-wise,5,22115,13699.23530280772,4.779999999999999,2.965,3578166.9,3155232.0509040626,3578166.9,3155229.8049999997,0.001
50,heuristic,1,piece-wise,5,50954,57647.0,2.3049999999999997,2.605,16221128.0,14785941.5,16221128.0,14785771.5,0.001
50,heuristic_fw,1,piece-wise,5,50954,32566.47937085465,2.3049999999999997,1.475,16221128.0,14806268.521231603,16221128.0,14806240.99,0.002
100,heuristic,1,piece-wise,5,90076,234296.0,2.05,5.32,31735921.7,29577843.0,31735921.7,29572329.0,0.001
100,heuristic_fw,1,piece-wise,5,90076,59338.13142504981,2.05,1.35,31735921.7,29659204.99914067,31735921.7,29659137.48,0.001
