,no_tasks,penalty_weight,cost_function_type,max_demand initial,max_demand final,max_demand reduction,PAR initial,PAR final,PAR reduction,objective initial,objective final,objective reduction,cost initial,cost final,cost reduction,Average run_time
heuristic,5,1,piece-wise,44099,48299.0,-9.50%,2.09,2.29,-9.60%,15330798.6,14152426.0,7.70%,15330798.6,14152292.0,7.70%,0.001
heuristic_fw,5,1,piece-wise,44099,27843.40698923905,36.90%,2.09,1.32,36.80%,15330798.6,14173694.364623828,7.50%,15330798.6,14173661.98,7.50%,0.002
