,no_tasks,penalty_weight,cost_function_type,max_demand initial,max_demand final,max_demand reduction,PAR initial,PAR final,PAR reduction,objective initial,objective final,objective reduction,cost initial,cost final,cost reduction,Average run_time
heuristic,5,1,piece-wise,103873,104553.0,-0.70%,2.69,2.71,-0.70%,27742749.4,25942607.0,6.50%,27742749.4,25942490.0,6.50%,0.003
heuristic_fw,5,1,piece-wise,103873,64588.67197139989,37.80%,2.69,1.67,37.90%,27742749.4,25967978.156324305,6.40%,27742749.4,25967956.56,6.40%,0.002
