,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
PAR,1.2,26.73,26.4,24.84,21.74,15.8,24.44,23.03,15.42,25.21,15.55,18.38,17.2,14.85,18.42,14.53,25.56,20.63,3.1,26.77,28.2
step_size,1.0,0.013000000000000005,0.013000000000000005,0.013000000000000005,0.011000000000000003,0.012000000000000004,0.007,0.007,0.008,0.005,0.008,0.004,0.004,0.003,0.003,0.004098592315704524,0.001,0.002,0.014753948679016665,0.001,0.0
inconvenient,0.0,12313815.0,13100589.0,11883158.0,8464764.0,10404953.0,9377255.0,10483542.0,8970870.0,10468510.0,11494071.0,6739544.0,5012764.0,9530854.0,7425060.0,7570057.0,7518222.0,8458018.0,841590.0,8768489.0,8353972.0
total_demand,153908878.0,153908878.0,153908878.0,153908878.0,153908878.0,153908878.0,153908878.0,153908878.0,153908878.0,153908878.0,153908878.0,153908878.0,153908878.0,153908878.0,153908878.0,153908878.0,153908878.0,153908878.0,153908878.0,153908878.0,153908878.0
max_demand,3855548.0,85698193.0,84637625.0,79631935.0,69697352.0,50665696.0,78352263.0,73850619.0,49448561.0,80842267.0,49845595.0,58942565.0,55161843.0,47623881.0,59054443.0,46580905.0,81941491.0,66143658.0,9954217.0,85850380.0,90436406.0
cost,2761244821.3,31319040682.4,29731647863.9,29127311612.1,29255928758.6,29445241818.4,28110233349.2,28439593152.2,28539883809.1,28905189751.2,27522136793.4,29231334847.2,28881893050.1,28468653052.4,26888949668.0,28232239155.0,26611839635.9,22030972684.4,16969921728.0,26563818006.9,29994498710.9
run_time,0.0,1.4839999999999474,2.3069999999998925,2.325999999999888,3.047999999999808,3.738999999999772,3.1269999999998235,3.7709999999997676,2.9439999999998325,3.5079999999997917,3.317999999999809,3.5019999999997853,2.6139999999998684,3.062999999999812,2.857999999999844,3.16099999999984,3.133999999999829,3.438999999999788,2.452999999999895,2.514999999999875,4.0279999999997385
objective,2761244821.3,31331354497.4,29744748452.9,29139194770.1,29264393522.6,29455646771.4,28119610604.2,28450076694.2,28548854679.1,28915658261.2,27533630864.4,29238074391.2,28886905814.1,28478183906.4,26896374728.0,28239809212.0,26619357857.9,22039430702.4,16970763318.0,26572586495.9,30002852682.9
