,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
PAR,1.2,1.19,1.18,1.17,1.15,1.13,1.12,1.12,1.11,1.1,1.09,1.09,1.08,1.08,1.08,1.08,1.07,1.06,1.05,1.04,1.04,1.04,1.04,1.04,1.03,1.03,1.03,1.03,1.03,1.03,1.03
step_size,1.0,0.011000000000000003,0.010000000000000002,0.009000000000000001,0.015000000000000006,0.01712852517465301,0.007,0.005,0.007,0.012000000000000004,0.004,0.004,0.002,0.002,0.002,0.003,0.004,0.01044037871699649,0.012529711084469836,0.005,0.003,0.001,0.001,0.002,0.001,0.002,0.002,0.001,0.001,0.001,0.0
inconvenient,0.0,140028.38300000003,130633.07617000003,97266.47331447001,127754.66290028302,162236.5317271847,76830.9742779097,72408.09012861045,70979.63536909973,114923.98037557084,38874.72407849772,48441.145103686016,18688.213709792628,14890.335572580414,19454.89932885484,14301.723302013435,18365.049106791947,12182.303191340265,7901.294659522204,5349.96852670239,7892.517094419893,4610.1644829055795,5792.298835517095,5126.075402328966,2763.8719245976713,7109.560256150805,5680.852879487698,3624.0581471205123,4356.52494185288,4574.595475058147,4574.595475058147
total_demand,153908878.0,153908877.99999994,153908877.99999997,153908877.99999994,153908878.0,153908878.0,153908878.0,153908878.00000003,153908878.0,153908877.99999997,153908878.0,153908878.0,153908878.00000003,153908877.99999997,153908878.00000003,153908877.99999997,153908877.99999997,153908878.00000003,153908878.00000003,153908877.99999994,153908878.00000003,153908877.99999997,153908878.0,153908878.00000003,153908878.00000003,153908878.00000003,153908878.0,153908878.0,153908878.0,153908878.0,153908878.0
max_demand,3855548.0,3813348.3922451306,3775386.052198366,3741543.1749692545,3685811.192071932,3623184.977930005,3597898.6432842924,3579945.093093303,3554960.531115749,3512534.8518029903,3498505.773558262,3484532.7275081454,3477567.1465858566,3470615.4898598315,3463677.7294956017,3453297.089870628,3439504.6154719573,3403762.84891931,3361358.5391361583,3344585.336409107,3334561.6168053052,3331227.0561885,3327895.8301323117,3321243.368366877,3317922.12599851,3311289.601667639,3304670.407716905,3301365.7733091884,3298064.4235358792,3294766.3791123433,3294766.3791123433
cost,2761244821.3,2694194417.0,2639859515.05,2599409221.96,2543073977.92,2490944908.14,2474831386.11,2462694747.15,2450711931.05,2433735612.67,2428489745.43,2424494684.74,2422660992.98,2421331894.75,2420033993.35,2418365677.36,2416381463.34,2412640562.66,2409621506.68,2408680766.43,2408085089.09,2407777555.49,2407477827.57,2407311075.64,2407114548.42,2406834077.27,2406531567.94,2406323594.96,2406103021.63,2405963875.78,2405963875.78
run_time,0.0,0.0059108734130859375,0.0058901309967041016,0.00486302375793457,0.008020162582397461,0.01032400131225586,0.003920316696166992,0.0034508705139160156,0.0057070255279541016,0.006799221038818359,0.0023081302642822266,0.0023040771484375,0.0015530586242675781,0.0014290809631347656,0.0013861656188964844,0.0020627975463867188,0.0022437572479248047,0.0050928592681884766,0.006192922592163086,0.002664804458618164,0.0023610591888427734,0.0009338855743408203,0.0013110637664794922,0.001657724380493164,0.0014109611511230469,0.00185394287109375,0.0017840862274169922,0.0013499259948730469,0.0013918876647949219,0.0013318061828613281,0.0008509159088134766
objective,2761244821.3,2694334445.383,2639990148.12617,2599506488.4333143,2543201732.5829005,2491107144.671727,2474908217.084278,2462767155.2401285,2450782910.6853695,2433850536.650376,2428528620.1540785,2424543125.885103,2422679681.19371,2421346785.0855727,2420053448.2493286,2418379979.083302,2416399828.3891068,2412652744.963191,2409629407.9746594,2408686116.3985267,2408092981.607095,2407782165.654483,2407483619.868836,2407316201.715402,2407117312.2919245,2406841186.830256,2406537248.7928796,2406327219.018147,2406107378.154942,2405968450.3754754,2405968450.3754754
