,max_demand,total_demand,PAR,objective,cost,inconvenient,step_size,reschedule_time
0,447241.0,16131922.0,0.75,648838812.9,648838812.9,0.0,1.0,0.0
1,432644.15922687,16131922.000000004,0.78,505003580.7,504579197.4,424383.30000000005,0.033,
2,417678.5541572339,16131922.000000006,0.8,425527600.8945,425122566.31,405034.5845,0.035,
3,408541.3465368278,16131922.000000002,0.82,393309617.049141,393113017.01,196600.039141,0.022,
4,404047.9857249227,16131922.0,0.83,382462255.25956947,382378559.56,83695.69956944899,0.011,
5,399605.38288194855,16131921.999999998,0.84,362476544.5673048,362426826.72,49717.84730473606,0.011,
6,390868.0177338744,16131921.999999996,0.86,350067553.7673593,349938656.16,128897.6073592958,0.022,
7,386574.06853880174,16131921.999999998,0.87,344635060.046319,344579768.52,55291.52631904774,0.011,
8,382324.5697848749,16131922.000000004,0.88,343214870.1832105,343156450.19,58419.99321049047,0.011,
9,382324.5697848749,16131922.000000004,0.88,343214870.1832105,343156450.19,58419.99321049047,0.0,
