,0,1,2,3,4,5,6,7,8,9,10,11,12
PAR,1.3,23.97,21.52,24.6,14.86,19.88,15.33,7.49,21.89,10.55,15.64,19.88,25.71
max_demand,1086548.0,20044240.0,17994769.0,20570436.0,12424298.0,16621974.0,12818841.0,6266191.0,18302708.0,8823133.0,13076545.0,16619127.0,21497506.0
total_demand,40135910.0,40135910.0,40135910.0,40135910.0,40135910.0,40135910.0,40135910.0,40135910.0,40135910.0,40135910.0,40135910.0,40135910.0,40135910.0
objective,652640071.7,7187728819.3,7068667363.0,7485690373.8,7209463835.0,7620271036.4,6977252452.4,6647535080.4,7211293157.9,6892860194.6,7325087502.8,7416485303.3,7482938004.1
cost,652640071.7,7185134506.3,7066232184.0,7483046858.8,7207563160.0,7618585591.4,6975362366.4,6645739600.4,7209773181.9,6891787422.6,7323317034.8,7415029376.3,7481074080.1
step_size,1.0,0.015,0.015,0.01,0.015,0.01,0.01,0.02,0.005,0.01,0.005,0.005,0.0
inconvenient,0.0,2594313.0,2435179.0,2643515.0,1900675.0,1685445.0,1890086.0,1795480.0,1519976.0,1072772.0,1770468.0,1455927.0,1863924.0
run_time,0.0,0.5510000000000004,0.6720000000000005,0.6870000000000005,0.7510000000000006,2.6619999999999795,0.6950000000000005,0.6520000000000005,0.7590000000000006,0.6720000000000005,0.6560000000000005,0.7100000000000005,0.6940000000000005
