,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
PAR,1.3,1.28,1.26,1.24,1.22,1.21,1.21,1.19,1.19,1.18,1.17,1.16,1.16,1.15,1.15,1.15
max_demand,1086548.0,1070331.1352815,1054356.3092960317,1038619.9095852497,1023118.3776072012,1012912.7717905694,1007848.2079316166,997794.9220574987,992805.9474472112,982902.7081214252,977988.1945808181,973098.253607914,968232.7623398744,963391.598528175,958574.6405355341,958574.6405355341
total_demand,40135910.0,40135909.99999999,40135910.00000001,40135909.999999985,40135910.00000001,40135909.99999999,40135910.000000015,40135910.00000001,40135910.0,40135910.0,40135910.0,40135910.0,40135910.0,40135910.00000001,40135910.00000001,40135910.00000001
objective,652640071.7,637855271.285,626040865.882375,618384489.1093144,611953298.9890103,607834477.44141,605713863.380793,602542390.176892,600837096.5809156,598307006.6474909,597234054.1056626,596199057.3407717,595476679.3257961,594683720.264721,594078647.2209764,594078647.2209764
cost,652640071.7,637812531.11,626004344.17,618360526.71,611915334.13,607815981.6,605703434.07,602520374.36,600828134.33,598294636.78,597227134.26,596191224.5,595470550.27,594677720.46,594070537.81,594070537.81
step_size,1.0,0.015,0.015,0.015,0.015,0.01,0.005,0.01,0.005,0.01,0.005,0.005,0.005,0.005,0.005,0.0
inconvenient,0.0,42740.174999999996,36521.712375,23962.399314374998,37964.859010284374,18495.84140989716,10429.310792950515,22015.816892070496,8962.250915539647,12369.867490844603,6919.8456625457775,7832.840771687271,6129.055796141564,5999.804721019293,8109.410976394904,8109.410976394904
run_time,0.0,0.0014488697052001953,0.0014410018920898438,0.0014488697052001953,0.002716064453125,0.001108407974243164,0.0007739067077636719,0.0010979175567626953,0.0007719993591308594,0.001104116439819336,0.0007379055023193359,0.0007491111755371094,0.0006227493286132812,0.0007412433624267578,0.0007627010345458984,0.00039696693420410156
