,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
PAR,1.3,25.47,20.89,17.45,17.0,18.67,24.47,16.04,21.23,9.86,18.88,16.39,15.97,9.1,19.64,21.39
max_demand,1086548.0,21295057.0,17470425.0,14590339.0,14217987.0,15612934.0,20457639.0,13413561.0,17748894.0,8242942.0,15783912.0,13702052.0,13356595.0,7613158.0,16418288.0,17885589.0
total_demand,40135910.0,40135910.0,40135910.0,40135910.0,40135910.0,40135910.0,40135910.0,40135910.0,40135910.0,40135910.0,40135910.0,40135910.0,40135910.0,40135910.0,40135910.0,40135910.0
objective,652640071.7,7905136855.0,8115212581.8,7349604543.2,7813513796.6,7527439039.8,7574923772.3,7216520241.7,7477437677.6,7308324719.0,7759396335.8,7689546162.8,7839681855.6,7496532438.0,7803045076.4,7716241734.6
cost,652640071.7,7902287510.0,8112735060.8,7347970528.2,7810958843.6,7525551490.8,7572819414.3,7214308230.7,7475623211.6,7307078770.0,7757999996.8,7687972674.8,7838448211.6,7495326348.0,7801417194.4,7713919577.6
step_size,1.0,0.015,0.015,0.015,0.015,0.01,0.005,0.01,0.005,0.01,0.005,0.005,0.005,0.005,0.005,0.0
inconvenient,0.0,2849345.0,2477521.0,1634015.0,2554953.0,1887549.0,2104358.0,2212011.0,1814466.0,1245949.0,1396339.0,1573488.0,1233644.0,1206090.0,1627882.0,2322157.0
run_time,0.0,1928.579999999999,1265.9799999999977,1187.3199999999993,904.2099999999971,522.3200000000037,624.9599999999994,600.8999999999991,597.7299999999996,552.9500000000021,547.9300000000017,516.1700000000045,606.1499999999996,602.5599999999996,531.3600000000032,512.7000000000046
