,average_run_time_per_iteration,no_iterations,no_households,no_tasks,penalty_weight,cost_function_type,max_demand initial,max_demand final,max_demand reduction,PAR initial,PAR final,PAR reduction,objective initial,objective final,objective reduction,cost initial,cost final,cost reduction
optimal,766.788,15,2000,5,1,piece-wise,1086548,17885589.0,-15.461,1.3,21.39,-15.454,652640071.7,7716241734.6,-10.823,652640071.7,7713919577.6,-10.82
optimal_fw,0.001,15,2000,5,1,piece-wise,1086548,958574.6405355341,0.118,1.3,1.15,0.115,652640071.7,594078647.2209764,0.09,652640071.7,594070537.81,0.09
heuristic,0.847,12,2000,5,1,piece-wise,1086548,21497506.0,-18.785,1.3,25.71,-18.777,652640071.7,7482938004.1,-10.466,652640071.7,7481074080.1,-10.463
heuristic_fw,0.001,12,2000,5,1,piece-wise,1086548,964690.5920202233,0.112,1.3,1.15,0.115,652640071.7,594778986.7696375,0.089,652640071.7,594771751.13,0.089
