,average_run_time_per_iteration,no_iterations,no_households,no_tasks,penalty_weight,cost_function_type,max_demand initial,max_demand final,max_demand reduction,PAR initial,PAR final,PAR reduction,objective initial,objective final,objective reduction,cost initial,cost final,cost reduction
optimal,3509.654,11,10000,5,1,piece-wise,4928390,114434898.0,-22.22,1.23,28.67,-22.309,3339934784.3,38636401561.4,-10.568,3339934784.3,38622911538.4,-10.564
optimal_fw,0.001,11,10000,5,1,piece-wise,4928390,4480676.628020727,0.091,1.23,1.12,0.089,3339934784.3,2961407156.7953653,0.113,3339934784.3,2961352097.35,0.113
heuristic,5.072,17,10000,5,1,piece-wise,4928390,101918661.0,-19.68,1.23,25.53,-19.756,3339934784.3,32295411069.4,-8.669,3339934784.3,32281812938.4,-8.665
heuristic_fw,0.001,17,10000,5,1,piece-wise,4928390,4397181.699984828,0.108,1.23,1.1,0.106,3339934784.3,2936795821.7727156,0.121,3339934784.3,2936769040.45,0.121
