,max_demand,PAR,objective,cost,inconvenient,step_size
0,40427.0,0.41,30107631.2,30107631.2,0,1.0
1,48632.38197419139,0.34,23805653.99,23805653.99,0,1.0330000000000008
2,55872.338582698285,0.29,23612657.44,23612657.44,0,1.0240000000000007
3,33598.599926363844,0.49,13375185.04,13375185.04,0,1.0080000000000007
4,34722.28412586197,0.47,12988043.67,12988043.67,0,0.8410000000000004
5,34307.524716351625,0.48,0.0,0.0,0,0.0
6,33863.593895039055,0.49,0.0,0.0,0,0.0
7,33391.72958050851,0.49,0.0,0.0,0,0.0
8,32893.23863680088,0.5,0.0,0.0,0,0.0
9,31976.679954970456,0.51,0.0,0.0,0,0.0
10,31531.23243560087,0.52,0.0,0.0,0,0.0
11,31060.648949066854,0.53,0.0,0.0,0,0.0
12,30689.82916167805,0.54,0.0,0.0,0,0.0
13,29896.027603474424,0.55,0.0,0.0,0,0.0
14,29509.446244629256,0.56,0.0,0.0,0,0.0
15,29186.591335938334,0.56,0.0,0.0,0,0.0
