,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
PAR,1.16,1.14,1.13,1.11,1.1,1.09,1.08,1.08,1.07,1.06,1.06,1.05,1.05,1.05,1.05,1.04,1.04,1.04,1.04,1.04,1.04,1.03,1.03,1.03
step_size,1.0,0.013000000000000005,0.011000000000000003,0.016094975278884652,0.008,0.009000000000000001,0.009000000000000001,0.007043273627413226,0.005,0.007076784230474905,0.004,0.005,0.003,0.002,0.002,0.003,0.001,0.001,0.002,0.002,0.002,0.003,0.002,0.0
inconvenient,0.0,207366.8480000001,207620.22767200004,224858.2284140914,156820.76617268726,81492.90510444583,125092.08085406001,89833.7639452252,65109.68618027387,58927.5423706756,48020.8018305173,36018.78599084741,43430.64064202746,25058.756718715944,30265.808486562568,28670.040574540315,6965.18595942546,12509.288814040576,14559.719422371918,23336.152561155257,18424.717694877687,5621.817846915367,6305.5783643061695,6305.5783643061695
total_demand,195224201.0,195224201.00000003,195224201.00000003,195224201.0,195224200.99999994,195224200.99999994,195224200.99999997,195224201.00000006,195224201.00000003,195224200.99999997,195224201.00000003,195224201.0,195224201.00000003,195224201.0,195224201.0,195224200.99999997,195224200.99999994,195224201.0,195224201.0,195224201.0,195224200.99999997,195224200.99999997,195224201.00000003,195224201.00000003
max_demand,4708820.0,4647971.284598234,4597103.989867723,4524624.956420979,4488554.393205865,4450518.455118804,4410623.6344037745,4379652.01648087,4357797.509144004,4327051.6804772075,4309769.418761502,4288263.626285732,4275692.7966212835,4267159.555782838,4258629.503830828,4245887.066256117,4241641.183189861,4237477.488006671,4229049.419173146,4220789.196512219,4212351.84290639,4199727.4262148505,4191428.8167428467,4191428.8167428467
cost,3783028435.7,3653986085.39,3551279907.1,3440000373.61,3391653334.22,3350809459.79,3314315930.73,3291593713.59,3279505194.16,3264400211.14,3258294691.53,3251556514.28,3247071357.44,3243702110.5,3240748408.84,3237849402.06,3236741825.03,3235732236.89,3234178146.84,3233097138.79,3231803832.38,3230531175.78,3229436917.37,3229436917.37
run_time,0.0,0.007493019104003906,0.006165981292724609,0.009923934936523438,0.004972934722900391,0.005059242248535156,0.0053670406341552734,0.004180908203125,0.003258943557739258,0.004114866256713867,0.002810955047607422,0.0031309127807617188,0.001981019973754883,0.001645803451538086,0.0015599727630615234,0.0023889541625976562,0.0013082027435302734,0.0011868476867675781,0.0019478797912597656,0.0022978782653808594,0.0023717880249023438,0.0022656917572021484,0.0017709732055664062,0.0005130767822265625
objective,3783028435.7,3654193452.238,3551487527.327672,3440225231.838414,3391810154.9861727,3350890952.6951046,3314441022.810854,3291683547.3539453,3279570303.84618,3264459138.6823707,3258342712.3318305,3251592533.065991,3247114788.080642,3243727169.2567186,3240778674.6484866,3237878072.1005745,3236748790.2159595,3235744746.178814,3234192706.5594225,3233120474.942561,3231822257.097695,3230536797.597847,3229443222.9483643,3229443222.9483643
