,no_tasks,no_households,penalty_weight,cost_function_type,max_demand initial,max_demand final,max_demand reduction,PAR initial,PAR final,PAR reduction,objective initial,objective final,objective reduction,cost initial,cost final,cost reduction,Average run_time
heuristic,5,50,1,piece-wise,59402,48602.0,18.20%,2.97,2.43,18.20%,14440000.6,13448674.0,6.90%,14440000.6,13448526.0,6.90%,0.005
heuristic_fw,5,50,1,piece-wise,59402,33665.930693294795,43.30%,2.97,1.68,43.40%,14440000.6,13449920.62306,6.90%,14440000.6,13449929.0,6.90%,0.001
