,0,1,2,3,4,5,6,7,8
total_demand,9301762.0,9301762.0,9301762.0,9301762.0,9301762.0,9301762.0,9301762.0,9301762.0,9301762.0
step_size,1.0,0.09199999999999998,0.023,0.011,0.011,0.011,0.034,0.023,0.0
inconvenient,0.0,94085.0,211889.0,222008.0,246573.0,271396.0,303322.0,118178.0,260853.0
run_time,0.0,0.005,0.006,0.006,0.005,0.006,0.003,0.004,0.004
objective,150938505.5,130549630.0,131840014.0,133465641.0,136378417.0,138402953.0,141389125.0,143404421.0,143005680.0
cost,150938505.5,130455545.0,131628125.0,133243633.0,136131844.0,138131557.0,141085803.0,143286243.0,142744827.0
max_demand,271119.0,890236.0,2307993.0,2874160.0,3074470.0,3291216.0,1223574.0,1110448.0,3663411.0
PAR,1.4,4.59,11.91,14.83,15.87,16.98,6.31,5.73,18.9
