,no_tasks,no_households,penalty_weight,cost_function_type,max_demand initial,max_demand final,max_demand reduction,PAR initial,PAR final,PAR reduction,objective initial,objective final,objective reduction,cost initial,cost final,cost reduction,Average run_time
heuristic,5,500,1,piece-wise,271119,3663411.0,-1251.20%,1.4,18.9,-1250.00%,150938505.5,143005680.0,5.30%,150938505.5,142744827.0,5.40%,0.005
heuristic_fw,5,500,1,piece-wise,271119,220605.55192767302,18.60%,1.4,1.14,18.60%,150938505.5,133742557.61763936,11.40%,150938505.5,133740074.41,11.40%,0.001
