,0,1,2,3
run_time,0.0,0.011000000000000003,0.010000000000000002,0.010000000000000002
objective,3872296.6,3340021.0,3339969.0,3339944.0
inconvenient,0.0,83.0,31.0,6.0
step_size,1.0,0.533,0.115,0.0
total_demand,238567.0,238567.0,238567.0,238567.0
max_demand,31735.0,24570.0,27070.0,27035.0
PAR,6.39,4.94,5.45,5.44
cost,3872296.6,3339938.0,3339938.0,3339938.0
