,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
PAR,1.2,26.83,24.98,23.98,22.71,22.64,22.37,21.14,23.11,20.25,13.52,16.8,15.16,12.73,15.27,19.59
max_demand,1917136.0,42902990.0,39940594.0,38343706.0,36313905.0,36208898.0,35778051.0,33801762.0,36960579.0,32387454.0,21619381.0,26868801.0,24243681.0,20356044.0,24410472.0,31320430.0
total_demand,76754597.0,76754597.0,76754597.0,76754597.0,76754597.0,76754597.0,76754597.0,76754597.0,76754597.0,76754597.0,76754597.0,76754597.0,76754597.0,76754597.0,76754597.0,76754597.0
objective,1354460955.3,14970684070.0,14871740043.9,14805576402.6,15107321326.4,14836457314.2,14344402664.4,14362407474.2,14569952992.0,14000262452.2,13986476650.4,13965747734.0,13572360770.6,13653836314.0,13384135174.5,14303484989.7
cost,1354460955.3,14963069568.0,14865285645.9,14797863479.6,15102115820.4,14830995185.2,14340335151.4,14356181059.2,14566677517.0,13996220175.2,13983646290.4,13962522117.0,13566913817.6,13649310636.0,13380313514.5,14296987128.7
step_size,1.0,0.01,0.01,0.01,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.0
inconvenient,0.0,7614502.0,6454398.0,7712923.0,5205506.0,5462129.0,4067513.0,6226415.0,3275475.0,4042277.0,2830360.0,3225617.0,5446953.0,4525678.0,3821660.0,6497861.0
run_time,0.0,0.9290000000000007,1.132999999999986,1.8259999999999286,4.416000000000053,1.0639999999999936,1.1589999999999832,2.0079999999998903,1.2679999999999712,1.812999999999926,1.2839999999999694,1.2409999999999775,1.051999999999995,3.8719999999999604,1.0849999999999913,1.0749999999999924
