,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
PAR,1.2,1.19,1.18,1.16,1.16,1.15,1.15,1.14,1.13,1.13,1.12,1.12,1.11,1.11,1.1,1.1
max_demand,1917136.0,1898012.5684,1879079.89303021,1860336.0710972336,1851137.3107417475,1842052.7191880387,1832848.9755920984,1823684.730714138,1814567.0570605672,1805556.2217752642,1796675.940666388,1787692.560963056,1778754.0981582408,1770630.8726674495,1761777.7183041123,1761777.7183041123
total_demand,76754597.0,76754597.00000001,76754596.99999997,76754596.99999999,76754597.0,76754596.99999999,76754597.00000001,76754596.99999996,76754597.0,76754597.00000001,76754597.00000001,76754597.0,76754596.99999999,76754597.0,76754597.0,76754597.0
objective,1354460955.3,1322258405.94,1295459351.5997999,1272933123.384702,1263468816.6329765,1255056784.389635,1247720470.092902,1240530166.7367356,1235600818.3996663,1230464856.3239017,1226594437.5386305,1222998713.5892568,1219987462.2158537,1217813223.3676207,1215864184.3969119,1215864184.3969119
cost,1354460955.3,1322182260.92,1295395569.07,1272856631.98,1263443171.56,1255029601.97,1247700268.44,1240499135.67,1235584596.18,1230444726.05,1226580386.39,1222982655.76,1219960307.74,1217790730.75,1215845188.56,1215845188.56
step_size,1.0,0.01,0.01,0.01,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.0
inconvenient,0.0,76145.02,63782.529800000004,76491.404702,25645.07297649,27182.419635117552,20201.652901824415,31031.066735490876,16222.219666322548,20130.273901668388,14051.148630491658,16057.829256847543,27154.47585371576,22492.61762073142,18995.836911896346,18995.836911896346
run_time,0.0,0.0010979175567626953,0.0010433197021484375,0.0010440349578857422,0.000720977783203125,0.0007047653198242188,0.0007028579711914062,0.0007128715515136719,0.0007059574127197266,0.0007193088531494141,0.0007257461547851562,0.0009069442749023438,0.0009319782257080078,0.0010280609130859375,0.0008881092071533203,0.000392913818359375
