,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
inconvenient,0.0,36089.295,67052.51762500001,26491.25482375,27383.5474517625,20252.33178822356,6027.358341058883,7041.113208294705,19284.328867917055,10349.528355660415,12212.092358221698,7941.709538208891,9791.001452308956,5584.8499927384555,11256.941500072615,15303.180877498911,3300.9272868375165,2444.8403635658124,2444.8403635658124
objective,601989985.5,593505669.135,583575379.667625,580233168.7148238,577223608.0274518,574303559.0917882,573336443.3183411,572514292.5332083,571230180.5788679,570404423.9283557,569920323.4723582,569364481.0595382,568879082.9114523,568360989.5799928,567484161.8515,566588016.6808774,565909313.3172868,565679790.0703636,565679790.0703636
run_time,0.0,0.001322031021118164,0.0020830631256103516,0.001171112060546875,0.0011289119720458984,0.001474142074584961,0.0007600784301757812,0.0008680820465087891,0.0012769699096679688,0.0009567737579345703,0.0008807182312011719,0.0009002685546875,0.0007922649383544922,0.0007340908050537109,0.001008749008178711,0.0021059513092041016,0.0016520023345947266,0.0007021427154541016,0.00037026405334472656
total_demand,39115086.0,39115086.00000001,39115086.0,39115085.99999999,39115085.99999999,39115086.0,39115085.99999999,39115086.00000001,39115085.99999999,39115086.000000015,39115086.00000001,39115086.000000015,39115085.99999998,39115086.00000001,39115086.00000001,39115086.0,39115085.99999999,39115085.99999999,39115085.99999999
max_demand,1107623.0,1091148.303747125,1064164.3878774855,1053560.3206084077,1043062.0289103389,1027816.8043229735,1022677.7203013586,1017564.3316998518,1007414.1274911457,1002395.39685369,997384.6198694216,992397.6967700744,987491.418286224,982553.9611947929,972752.9854318748,958234.5255301808,943932.7554573271,939213.0916800405,939213.0916800405
cost,601989985.5,593469579.84,583508327.15,580206677.46,577196224.48,574283306.76,573330415.96,572507251.42,571210896.25,570394074.4,569908111.38,569356539.35,568869291.91,568355404.73,567472904.91,566572713.5,565906012.39,565677345.23,565677345.23
PAR,1.36,1.34,1.31,1.29,1.28,1.26,1.25,1.25,1.24,1.23,1.22,1.22,1.21,1.21,1.19,1.18,1.16,1.15,1.15
step_size,1.0,0.015,0.025,0.01,0.01,0.015,0.005,0.005,0.01,0.005,0.005,0.005,0.005,0.005,0.01,0.015,0.015,0.005,0.0
