,no_tasks,penalty_weight,cost_function_type,max_demand initial,max_demand final,max_demand reduction,PAR initial,PAR final,PAR reduction,objective initial,objective final,objective reduction,cost initial,cost final,cost reduction,Average run_time
heuristic,5,1,piece-wise,23751,24351.0,-2.50%,4.54,4.66,-2.60%,3916978.2,3515036.0,10.30%,3916978.2,3515036.0,10.30%,0.0
heuristic_fw,5,1,piece-wise,23751,13666.926981276123,42.50%,4.54,2.61,42.50%,3916978.2,3516320.85,10.20%,3916978.2,3516206.46,10.20%,0.003
