,no_tasks,penalty_weight,cost_function_type,max_demand initial,max_demand final,max_demand reduction,PAR initial,PAR final,PAR reduction,objective initial,objective final,objective reduction,cost initial,cost final,cost reduction,Average run_time
heuristic,5,1,piece-wise,89248,213271.0,-139.00%,1.97,4.71,-139.10%,33737856.1,30458671.0,9.70%,33737856.1,30455683.0,9.70%,0.002
heuristic_fw,5,1,piece-wise,89248,56610.647724640796,36.60%,1.97,1.25,36.50%,33737856.1,30548467.580332737,9.50%,33737856.1,30548446.97,9.50%,0.001
