,no_tasks,penalty_weight,cost_function_type,max_demand initial,max_demand final,max_demand reduction,PAR initial,PAR final,PAR reduction,objective initial,objective final,objective reduction,cost initial,cost final,cost reduction,Average run_time
heuristic,5,1,piece-wise,47099,66210.0,-40.60%,2.26,3.17,-40.30%,15896125.6,14022550.0,11.80%,15896125.6,14022146.0,11.80%,0.001
heuristic_fw,5,1,piece-wise,47099,30453.69036554788,35.30%,2.26,1.46,35.40%,15896125.6,14050649.26119835,11.60%,15896125.6,14050620.22,11.60%,0.002
