,0,1,2,3,4,5,6,7,8
PAR,1.2,1.18,1.17,1.16,1.15,1.14,1.14,1.13,1.13
max_demand,972244.0,957733.1367695,948179.7487302242,938721.6557366402,934028.0474579571,924711.1176845639,920087.562096141,910909.688664232,910909.688664232
total_demand,38824495.0,38824495.00000001,38824494.99999999,38824494.99999999,38824495.0,38824494.99999999,38824494.999999985,38824495.0,38824495.0
objective,704591753.5,677736109.6,663567265.4598,650515531.623602,644523060.871132,636889894.5107887,633280238.5976961,627085421.052623,627085421.052623
cost,704591753.5,677688816.58,663531748.82,650483712.85,644503790.95,636856675.05,633268775.86,627060080.72,627060080.72
step_size,1.0,0.015,0.01,0.01,0.005,0.01,0.005,0.01,0.0
inconvenient,0.0,47293.02,35516.6398,31818.773602,19269.921131990002,33219.4607886801,11462.7376960566,25340.332623039434,25340.332623039434
run_time,0.0,0.001516103744506836,0.0011990070343017578,0.0011188983917236328,0.0012276172637939453,0.0011930465698242188,0.0009617805480957031,0.0011429786682128906,0.0007150173187255859
