repeat,no_households,algorithm,no_tasks,penalty_weight,cost_function_type,max_demand initial,max_demand final,max_demand reduction,PAR initial,PAR final,PAR reduction,objective initial,objective final,objective reduction,cost initial,cost final,cost reduction,Average run_time
0,10,optimal,5,1,piece-wise,16500,29086.0,-76.30%,3.47,6.12,-76.40%,3799996.2,3192954.0,16.00%,3799996.2,3192910.0,16.00%,1.885
0,10,optimal_fw,5,1,piece-wise,16500,10521.283833895304,36.20%,3.47,2.21,36.30%,3799996.2,3198444.42195565,15.80%,3799996.2,3198440.91,15.80%,0.001
0,10,heuristic,5,1,piece-wise,16500,19390.0,-17.50%,3.47,4.08,-17.60%,3799996.2,3192918.0,16.00%,3799996.2,3192910.0,16.00%,0.0
0,10,heuristic_fw,5,1,piece-wise,16500,10101.108221199209,38.80%,3.47,2.13,38.60%,3799996.2,3194525.09787968,15.90%,3799996.2,3194522.17,15.90%,0.002
0,20,optimal,5,1,piece-wise,22230,40271.0,-81.20%,2.89,5.24,-81.30%,5934756.8,5165946.0,13.00%,5934756.8,5165734.0,13.00%,2.76
0,20,optimal_fw,5,1,piece-wise,22230,15065.223502166931,32.20%,2.89,1.96,32.20%,5934756.8,5176061.801238185,12.80%,5934756.8,5176011.01,12.80%,0.001
0,20,heuristic,5,1,piece-wise,22230,38445.0,-72.90%,2.89,5.0,-73.00%,5934756.8,5166047.0,13.00%,5934756.8,5165734.0,13.00%,0.0
0,20,heuristic_fw,5,1,piece-wise,22230,14470.350427899011,34.90%,2.89,1.88,34.90%,5934756.8,5175977.474338729,12.80%,5934756.8,5175963.15,12.80%,0.001
1,10,optimal,5,1,piece-wise,13100,13100.0,0.00%,3.47,3.47,0.00%,2867241.2,2538536.0,11.50%,2867241.2,2538536.0,11.50%,1.09
1,10,optimal_fw,5,1,piece-wise,13100,8067.012812094107,38.40%,3.47,2.14,38.30%,2867241.2,2540919.8947056797,11.40%,2867241.2,2540914.3,11.40%,0.002
1,10,heuristic,5,1,piece-wise,13100,13100.0,0.00%,3.47,3.47,0.00%,2867241.2,2538536.0,11.50%,2867241.2,2538536.0,11.50%,0.0
1,10,heuristic_fw,5,1,piece-wise,13100,8067.012812094107,38.40%,3.47,2.14,38.30%,2867241.2,2540975.48470568,11.40%,2867241.2,2540969.89,11.40%,0.002
1,20,optimal,5,1,piece-wise,42606,44420.0,-4.30%,5.07,5.29,-4.30%,6473821.7,5642586.0,12.80%,6473821.7,5642421.0,12.80%,2.473
1,20,optimal_fw,5,1,piece-wise,42606,27368.357793436648,35.80%,5.07,3.26,35.70%,6473821.7,5651222.944383999,12.70%,6473821.7,5651218.64,12.70%,0.001
1,20,heuristic,5,1,piece-wise,42606,27650.0,35.10%,5.07,3.29,35.10%,6473821.7,5642722.0,12.80%,6473821.7,5642421.0,12.80%,0.0
1,20,heuristic_fw,5,1,piece-wise,42606,30392.393615999998,28.70%,5.07,3.62,28.60%,6473821.7,5657386.16,12.60%,6473821.7,5657297.13,12.60%,0.0
2,10,optimal,5,1,piece-wise,19150,26100.0,-36.30%,5.31,7.24,-36.30%,2749944.0,2421800.0,11.90%,2749944.0,2421734.0,11.90%,1.05
2,10,optimal_fw,5,1,piece-wise,19150,12203.941273284603,36.30%,5.31,3.39,36.20%,2749944.0,2424714.9650374083,11.80%,2749944.0,2424710.24,11.80%,0.001
2,10,heuristic,5,1,piece-wise,19150,26140.0,-36.50%,5.31,7.25,-36.50%,2749944.0,2421803.0,11.90%,2749944.0,2421734.0,11.90%,0.0
2,10,heuristic_fw,5,1,piece-wise,19150,12201.949238614949,36.30%,5.31,3.39,36.20%,2749944.0,2424926.220916648,11.80%,2749944.0,2424922.0,11.80%,0.001
