,no_tasks,no_households,penalty_weight,cost_function_type,max_demand initial,max_demand final,max_demand reduction,PAR initial,PAR final,PAR reduction,objective initial,objective final,objective reduction,cost initial,cost final,cost reduction,Average run_time
heuristic,5,500,1,piece-wise,288596,3989343.0,-1282.30%,1.44,19.93,-1284.00%,147928899.2,136254147.0,7.90%,147928899.2,135765351.0,8.20%,0.006
heuristic_fw,5,500,1,piece-wise,288596,248934.28228357146,13.70%,1.44,1.24,13.90%,147928899.2,137821300.0754405,6.80%,147928899.2,137819006.41,6.80%,0.001
