,no_tasks,no_households,penalty_weight,cost_function_type,max_demand initial,max_demand final,max_demand reduction,PAR initial,PAR final,PAR reduction,objective initial,objective final,objective reduction,cost initial,cost final,cost reduction,Average run_time
heuristic,5,1000,1,piece-wise,513222,5397373.0,-951.70%,1.31,13.82,-955.00%,306437832.0,326205626.0,-6.50%,306437832.0,325884130.0,-6.30%,0.018
heuristic_fw,5,1000,1,piece-wise,513222,459017.0671171567,10.60%,1.31,1.18,9.90%,306437832.0,277963704.860605,9.30%,306437832.0,277958930.0,9.30%,0.001
