,max_demand,total_demand,PAR,objective,cost,inconvenient,step_size,reschedule_time
0,70428.0,1636972.0,0.48,25213021.2,25213021.2,0.0,1.0,0.0
1,54273.82372119924,1636972.0000000002,0.63,23142507.86,23078224.06,64283.80000000002,0.25900000000000006,
2,48867.29311822114,1636971.9999999998,0.7,23011492.611,22998733.41,12759.200999999995,0.10499999999999998,
3,47714.11031629974,1636972.0000000002,0.71,22996070.749176003,22992304.17,3766.579176,0.024,
4,47556.08310282044,1636971.9999999995,0.72,22991566.297629062,22989643.13,1923.1676290639998,0.011,
5,104094.0,1636972.0,0.33,22991566.297629062,22989643.13,1923.1676290639998,0.0,
6,104083.0048775813,1636972.0,0.33,42946246.06572265,42924778.23,21467.835722657637,0.11499999999999999,
7,59537.605901845,1636972.0000000005,0.57,23335190.301173925,23259969.95,75220.35117392505,0.5550000000000004,
8,49498.68457508196,1636971.9999999998,0.69,23010226.533276953,22994688.4,15538.13327695424,0.19,
9,47083.73503984855,1636972.0,0.72,22987855.893336155,22980782.8,7073.093336152288,0.05,
10,46536.59821937037,1636972.0,0.73,22980376.072879966,22978576.95,1799.1228799661726,0.012,
11,113985.0,1636972.0,0.3,22980376.072879966,22978576.95,1799.1228799661726,0.0,
