no_households,no_tasks,algorithm,penalty_weight,cost_function_type,max_demand initial,max_demand final,PAR initial,PAR final,objective initial,objective final,cost initial,cost final,Average run_time
10,5,heuristic,1,piece-wise,21242,19386.0,5.125,4.705,3174522.75,2780832.5,3174522.75,2780792.0,0.0
10,5,heuristic_fw,1,piece-wise,21242,13086.389571557313,5.125,3.175,3174522.75,2782718.7199999997,3174522.75,2782701.9050000003,0.001
10,5,optimal,1,piece-wise,21242,25877.0,5.125,6.21,3174522.75,2780880.5,3174522.75,2780792.0,1.2774999999999999
10,5,optimal_fw,1,piece-wise,21242,17219.804362519673,5.125,4.135,3174522.75,2847800.724,3174522.75,2847774.815,0.001
20,5,heuristic,1,piece-wise,28940,30846.0,3.625,3.865,5975083.35,5362949.0,5975083.35,5362847.0,0.0
20,5,heuristic_fw,1,piece-wise,28940,17951.231108073152,3.625,2.25,5975083.35,5369166.746536225,5975083.35,5369122.75,0.0015
20,5,optimal,1,piece-wise,28940,33774.5,3.625,4.234999999999999,5975083.35,5362927.0,5975083.35,5362847.0,3.4335
20,5,optimal_fw,1,piece-wise,28940,18283.27282378986,3.625,2.29,5975083.35,5371152.253438879,5975083.35,5371149.8,0.001
