repeat,no_households,algorithm,no_tasks,penalty_weight,cost_function_type,max_demand initial,max_demand final,max_demand reduction,PAR initial,PAR final,PAR reduction,objective initial,objective final,objective reduction,cost initial,cost final,cost reduction,Average run_time
0,10,optimal,5,1,piece-wise,19650,20310.0,-3.40%,4.95,5.12,-3.40%,2991041.6,2666538.0,10.80%,2991041.6,2666510.0,10.90%,1.17
0,10,optimal_fw,5,1,piece-wise,19650,13606.665130677677,30.80%,4.95,3.43,30.70%,2991041.6,2670114.569,10.70%,2991041.6,2670076.31,10.70%,0.001
0,10,heuristic,5,1,piece-wise,19650,20310.0,-3.40%,4.95,5.12,-3.40%,2991041.6,2666540.0,10.80%,2991041.6,2666510.0,10.90%,0.0
0,10,heuristic_fw,5,1,piece-wise,19650,13606.665130677677,30.80%,4.95,3.43,30.70%,2991041.6,2670113.877,10.70%,2991041.6,2670076.32,10.70%,0.001
0,20,optimal,5,1,piece-wise,28280,33790.0,-19.50%,3.55,4.25,-19.70%,6063485.7,5348397.0,11.80%,6063485.7,5348266.0,11.80%,2.59
0,20,optimal_fw,5,1,piece-wise,28280,17962.734686834225,36.50%,3.55,2.26,36.30%,6063485.7,5357931.308243759,11.60%,6063485.7,5357928.18,11.60%,0.001
0,20,heuristic,5,1,piece-wise,28280,29702.0,-5.00%,3.55,3.73,-5.10%,6063485.7,5348438.0,11.80%,6063485.7,5348266.0,11.80%,0.0
0,20,heuristic_fw,5,1,piece-wise,28280,17605.482978242708,37.70%,3.55,2.21,37.70%,6063485.7,5354979.309094,11.70%,6063485.7,5354896.39,11.70%,0.002
1,10,optimal,5,1,piece-wise,22834,31444.0,-37.70%,5.3,7.3,-37.70%,3358003.9,2895223.0,13.80%,3358003.9,2895074.0,13.80%,1.385
1,10,optimal_fw,5,1,piece-wise,22834,20832.943594361674,8.80%,5.3,4.84,8.70%,3358003.9,3025486.8789999997,9.90%,3358003.9,3025473.32,9.90%,0.001
1,10,heuristic,5,1,piece-wise,22834,18462.0,19.10%,5.3,4.29,19.10%,3358003.9,2895125.0,13.80%,3358003.9,2895074.0,13.80%,0.0
1,10,heuristic_fw,5,1,piece-wise,22834,12566.114012436947,45.00%,5.3,2.92,44.90%,3358003.9,2895323.563,13.80%,3358003.9,2895327.49,13.80%,0.001
1,20,optimal,5,1,piece-wise,29600,33759.0,-14.10%,3.7,4.22,-14.10%,5886681.0,5377457.0,8.70%,5886681.0,5377428.0,8.70%,4.277
1,20,optimal_fw,5,1,piece-wise,29600,18603.810960745494,37.10%,3.7,2.32,37.30%,5886681.0,5384373.198634,8.50%,5886681.0,5384371.42,8.50%,0.001
1,20,heuristic,5,1,piece-wise,29600,31990.0,-8.10%,3.7,4.0,-8.10%,5886681.0,5377460.0,8.70%,5886681.0,5377428.0,8.70%,0.0
1,20,heuristic_fw,5,1,piece-wise,29600,18296.9792379036,38.20%,3.7,2.29,38.10%,5886681.0,5383354.1839784505,8.60%,5886681.0,5383349.11,8.60%,0.001
