,average_run_time_per_iteration,no_iterations,no_households,no_tasks,penalty_weight,cost_function_type,max_demand initial,max_demand final,max_demand reduction,PAR initial,PAR final,PAR reduction,objective initial,objective final,objective reduction,cost initial,cost final,cost reduction
heuristic,2.542,11,4000,5,1,piece-wise,1928677,40620421.0,-20.061,1.2,25.21,-20.008,1394141330.2,15020425923.6,-9.774,1394141330.2,15015257166.6,-9.77
heuristic_fw,0.001,11,4000,5,1,piece-wise,1928677,1782064.661852558,0.076,1.2,1.11,0.075,1394141330.2,1235284689.8817077,0.114,1394141330.2,1235263323.58,0.114
