,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
0,1484.47,1458.607,1379.075,1527.091,1289.84,1162.244,1210.686,1218.337,1358.941,1434.789,1476.002,1439.423,1616.938,1700.112,1553.263,1718.747,1715.446,1817.278,1860.324,1690.055,1526.095,1440.176,1480.381,1628.084,1681.116,1736.958,1695.81,1691.089,1711.649,1697.868,1804.981,1814.138,1665.357,1597.257,1796.68,1885.1,1709.825,1793.721,1928.677,1909.787,1839.478,1899.567,1779.933,1591.196,1549.598,1436.355,1490.257,1439.034
1,8.914,6.952,0.513,0.003,426.948,19622.471,41261.988,11080.562,3358.543,649.139,64.256,13.853,0.001,0.0,0.113,0.0,0.0,0.0,0.0,0.001,0.397,66.236,18.854,0.019,0.003,0.0,0.01,0.023,0.003,0.005,0.0,0.0,0.076,1.315,0.001,0.0,0.012,0.0,4.6,6.9,0.0,0.0,0.0,0.095,3.618,456.742,217.917,60.752
2,7.88,6.97,0.593,0.17,37989.39,11510.413,0.0,13303.142,7964.069,3348.92,513.855,528.882,0.006,0.0,0.13,0.0,0.0,0.0,0.0,0.001,0.537,333.246,59.147,0.039,0.002,0.001,0.008,0.012,0.016,0.008,0.0,0.0,0.094,1.041,0.002,0.0,7.15,10.86,10.92,3.8,0.301,12.204,20.556,12.382,28.183,1159.535,391.273,106.097
3,2039.02,15422.761,41423.79,209.91,0.0,0.389,0.008,5.644,216.924,884.628,1754.51,2820.858,0.007,0.0,0.128,0.0,0.0,0.0,0.0,0.001,23.959,5720.367,2141.588,0.074,0.002,0.001,0.006,0.04,0.005,0.005,0.0,0.0,0.16,1.032,0.002,1.05,8.08,10.85,10.5,3.5,0.701,12.454,26.286,19.619,47.924,3437.625,758.044,329.383
4,128.306,29.763,22.176,29.009,26.59,23.783,10.58,19572.954,9650.768,2021.765,267.985,99.344,23.871,29.829,46.449,52.677,40.736,44.778,62.443,46.888,21.556,73.762,110.694,92.781,60.932,66.401,101.887,103.008,49.893,87.144,104.703,115.983,127.207,113.835,153.315,202.242,145.653,135.121,162.646,197.122,234.164,246.469,227.492,165.995,267.202,2831.04,14421.227,24481.667
5,8.921,7.069,0.0,0.112,0.021,3388.769,0.179,0.001,184.782,2786.0,16854.741,41257.525,4.976,0.004,1.162,0.001,0.004,0.0,0.0,0.005,481.05,4136.976,5317.545,35.177,0.01,0.001,0.026,0.034,0.009,0.062,0.0,0.0,0.211,5.646,0.003,0.0,7.028,10.502,10.5,3.5,0.001,0.104,0.156,14.009,236.146,2398.089,143.194,37.584
6,444.25,7.754,0.21,1513.258,0.022,1096.532,0.744,0.04,5.267,3123.271,1.59,0.001,0.051,0.029,2.269,0.001,0.002,0.0,0.0,0.237,16126.489,18923.729,22397.842,209.506,4.756,0.007,0.033,0.03,0.045,0.039,0.0,0.0,0.423,6.253,0.003,0.0,7.079,10.504,10.614,3.614,0.039,0.112,0.81,368.953,1851.836,10751.503,380.28,81.808
7,1.049,0.181,0.0,358.055,358.145,38524.694,11767.279,14.855,7784.042,9253.24,2848.855,33.102,0.449,0.053,1840.065,0.187,0.005,0.0,0.0,0.216,0.065,0.033,0.003,3.911,0.632,0.039,0.052,0.073,0.075,0.045,0.0,0.008,1.359,23.474,0.004,0.0,0.09,0.004,0.0,0.0,0.003,0.0,0.0,567.823,3618.03,216.875,93.893,20.872
8,18904.171,11709.718,0.0,12270.602,6.161,0.023,0.02,12.386,1810.837,2135.659,2046.562,202.089,80.072,0.101,712.008,0.392,0.006,0.0,0.0,0.221,0.151,0.024,0.003,18.445,1.676,0.076,0.095,0.165,0.041,0.174,0.0,0.0,1.319,31.105,7.276,7.02,4.89,7.207,7.2,5.7,6.306,6.3,4.2,10612.328,13530.082,2614.461,511.82,62.743
9,8.116,6.958,0.0,0.248,0.139,0.066,0.024,184.8,4943.96,11077.187,9677.06,16.757,133.328,3082.132,29431.599,0.314,0.169,0.0,0.0,0.17,0.143,0.023,0.006,10.696,1.652,0.42,0.116,0.23,0.186,0.157,0.0,0.932,4804.631,10655.839,0.137,0.0,0.359,0.012,0.0,0.001,0.006,0.0,0.0,8.433,89.747,1538.225,1220.43,436.427
10,7.911,6.925,0.0,5.649,3.853,0.211,0.057,0.682,5.481,33.862,2651.594,5348.959,32036.171,2148.863,0.032,0.099,0.239,0.0,0.0,0.215,0.101,0.043,0.01,16566.629,11386.901,221.506,30.403,0.236,0.242,0.214,0.0,0.0,325.745,3947.451,0.026,0.0,0.249,0.011,0.0,0.001,0.006,0.0,0.007,10.067,78.297,1128.406,1014.526,369.955
11,7.929,6.923,0.0,1.441,0.38,0.04,510.752,20739.935,40620.421,3542.606,123.513,5.791,0.002,0.238,0.229,0.24,0.24,0.0,0.0,661.61,4.39,0.567,0.044,0.27,0.042,0.028,20.628,747.184,22.116,16.955,0.0,0.0,3.151,1348.849,0.015,0.001,0.611,0.034,0.0,0.0,0.005,12.0,20.407,12.477,99.354,5024.814,3358.863,416.74
