,no_tasks,penalty_weight,cost_function_type,max_demand initial,max_demand final,max_demand reduction,PAR initial,PAR final,PAR reduction,objective initial,objective final,objective reduction,cost initial,cost final,cost reduction,Average run_time
heuristic,5,1,piece-wise,45971,54566.0,-18.70%,2.25,2.67,-18.70%,15310208.7,13748096.0,10.20%,15310208.7,13747724.0,10.20%,0.001
heuristic_fw,5,1,piece-wise,45971,29341.393206982604,36.20%,2.25,1.43,36.40%,15310208.7,13774385.8463117,10.00%,15310208.7,13774381.44,10.00%,0.002
