,no_tasks,no_households,penalty_weight,cost_function_type,max_demand initial,max_demand final,max_demand reduction,PAR initial,PAR final,PAR reduction,objective initial,objective final,objective reduction,cost initial,cost final,cost reduction,Average run_time
heuristic,5,500,1,piece-wise,265566,5407864.0,-1936.40%,1.31,26.62,-1932.10%,160190552.6,153544537.0,4.10%,160190552.6,153086188.0,4.40%,0.501
heuristic_fw,5,500,1,piece-wise,265566,254072.4869307678,4.30%,1.31,1.25,4.60%,160190552.6,150689579.80215323,5.90%,160190552.6,150686549.36,5.90%,0.001
