,0,1,2,3,4
run_time,0.0,0.0019237995147705078,0.0010459423065185547,0.0010607242584228516,0.0006029605865478516
step_size,1.0,0.022,0.011,0.011,0.0
PAR,1.31,1.28,1.26,1.25,1.25
max_demand,265566.0,259755.681486,256898.368989654,254072.4869307678,254072.4869307678
cost,160190552.6,154487574.34,152394547.11,150686549.36,150686549.36
inconvenient,0.0,9699.382,3805.258798,3030.442153222,3030.442153222
objective,160190552.6,154497273.722,152398352.36879802,150689579.80215323,150689579.80215323
total_demand,9752449.0,9752449.0,9752448.999999998,9752449.0,9752449.0
