,no_tasks,no_households,penalty_weight,cost_function_type,max_demand initial,max_demand final,max_demand reduction,PAR initial,PAR final,PAR reduction,objective initial,objective final,objective reduction,cost initial,cost final,cost reduction,Average run_time
heuristic,5,50,1,piece-wise,64693,53241.0,17.70%,3.56,2.93,17.70%,13672345.9,12228910.0,10.60%,13672345.9,12228804.0,10.60%,0.001
heuristic_fw,5,50,1,piece-wise,64693,38546.082821647906,40.40%,3.56,2.12,40.40%,13672345.9,12236024.641227549,10.50%,13672345.9,12236011.01,10.50%,0.001
