,no_tasks,no_households,penalty_weight,cost_function_type,max_demand initial,max_demand final,max_demand reduction,PAR initial,PAR final,PAR reduction,objective initial,objective final,objective reduction,cost initial,cost final,cost reduction,Average run_time
heuristic,5,500,1,piece-wise,273430,2713392.0,-892.40%,1.39,13.77,-890.60%,152323524.3,147132142.0,3.40%,152323524.3,146880247.0,3.60%,0.006
heuristic_fw,5,500,1,piece-wise,273430,231393.51824785618,15.40%,1.39,1.17,15.80%,152323524.3,136555408.2113302,10.40%,152323524.3,136553346.87,10.40%,0.001
