,no_tasks,penalty_weight,cost_function_type,max_demand initial,max_demand final,max_demand reduction,PAR initial,PAR final,PAR reduction,objective initial,objective final,objective reduction,cost initial,cost final,cost reduction,Average run_time
heuristic,5,1,piece-wise,83395,122355.0,-46.70%,1.9,2.78,-46.30%,31797876.1,29574212.0,7.00%,31797876.1,29573311.0,7.00%,0.001
heuristic_fw,5,1,piece-wise,83395,53697.71425798993,35.60%,1.9,1.22,35.80%,31797876.1,29662377.16516977,6.70%,31797876.1,29662279.72,6.70%,0.002
