no_households,no_tasks,algorithm,penalty_weight,cost_function_type,max_demand initial,max_demand final,PAR initial,PAR final,objective initial,objective final,cost initial,cost final,Average run_time
1000,5,heuristic,1,piece-wise,511483,12648551.0,1.27,31.37,332322131.8,280430429.0,332322131.8,279014105.0,0.053
1000,5,heuristic_fw,1,piece-wise,511483,494789.048545127,1.27,1.23,332322131.8,312249542.47604,332322131.8,312234361.82,0.001
1000,5,optimal,1,piece-wise,511483,6741312.0,1.27,16.72,332322131.8,360549220.0,332322131.8,359719183.0,102.646
1000,5,optimal_fw,1,piece-wise,511483,462549.7825695186,1.27,1.15,332322131.8,293672765.2993747,332322131.8,293666527.22,0.001
5000,5,heuristic,1,piece-wise,2408940,48764353.0,1.21,24.46,1671881309.4,1703848658.0,1671881309.4,1698447488.0,0.055
5000,5,heuristic_fw,1,piece-wise,2408940,2330316.21892086,1.21,1.17,1671881309.4,1573795040.1311128,1671881309.4,1573744219.36,0.001
5000,5,optimal,1,piece-wise,2408940,49075643.0,1.21,24.62,1671881309.4,1673834553.0,1671881309.4,1668466678.0,646.445
5000,5,optimal_fw,1,piece-wise,2408940,2330316.21892086,1.21,1.17,1671881309.4,1567992098.1604545,1671881309.4,1567928816.32,0.001
