,no_tasks,penalty_weight,cost_function_type,max_demand initial,max_demand final,max_demand reduction,PAR initial,PAR final,PAR reduction,objective initial,objective final,objective reduction,cost initial,cost final,cost reduction,Average run_time
heuristic,5,1,piece-wise,24030,20376.0,15.20%,4.39,3.72,15.30%,4195923.8,3681122.0,12.30%,4195923.8,3681118.0,12.30%,0.001
heuristic_fw,5,1,piece-wise,24030,14741.671203029391,38.70%,4.39,2.69,38.70%,4195923.8,3683679.87251304,12.20%,4195923.8,3683677.83,12.20%,0.001
