,no_tasks,no_households,penalty_weight,cost_function_type,max_demand initial,max_demand final,max_demand reduction,PAR initial,PAR final,PAR reduction,objective initial,objective final,objective reduction,cost initial,cost final,cost reduction,Average run_time
heuristic,5,500,1,piece-wise,282476,5302405.0,-1777.10%,1.31,24.68,-1784.00%,179040348.2,163700008.0,8.60%,179040348.2,163295345.0,8.80%,0.501
heuristic_fw,5,500,1,piece-wise,282476,249105.53319623726,11.80%,1.31,1.16,11.50%,179040348.2,153588158.6417099,14.20%,179040348.2,153582974.52,14.20%,0.001
