,no_tasks,penalty_weight,cost_function_type,Average run_time
optimal,5,1,piece-wise,4.28
optimal_fw,5,1,piece-wise,0.001
heuristic,5,1,piece-wise,0.0
heuristic_fw,5,1,piece-wise,0.002
