,no_tasks,penalty_weight,cost_function_type,max_demand initial,max_demand final,max_demand reduction,PAR initial,PAR final,PAR reduction,objective initial,objective final,objective reduction,cost initial,cost final,cost reduction,Average run_time
heuristic,5,1,piece-wise,49543,58340.0,-17.80%,2.48,2.92,-17.70%,14589542.6,13445897.0,7.80%,14589542.6,13445584.0,7.80%,0.0
heuristic_fw,5,1,piece-wise,49543,31857.964357659148,35.70%,2.48,1.59,35.90%,14589542.6,13466008.718055721,7.70%,14589542.6,13465942.89,7.70%,0.002
