,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
PAR,1.34,20.54,17.74,13.54,12.44,21.3,19.96,15.79,23.76,26.19,30.23,26.14,31.12,4.08,5.48,14.39,11.91,15.95,11.32,15.84,18.82,30.35
step_size,1.0,0.02000000000000001,0.023000000000000013,0.02718877627661361,0.027833190503693362,0.013000000000000005,0.014000000000000005,0.017000000000000008,0.007,0.006,0.004,0.004,0.004,0.0335787366682085,0.014000000000000005,0.007,0.006,0.002,0.004,0.002,0.002,0.0
inconvenient,0.0,1890613.0,1968720.0,1713290.0,1435833.0,2243979.0,2442921.0,1517767.0,1508040.0,2262162.0,2200017.0,2046099.0,1574849.0,237521.0,537594.0,1552548.0,941252.0,1564849.0,788511.0,954306.0,2026784.0,2560505.0
total_demand,39426379.0,39426379.0,39426379.0,39426379.0,39426379.0,39426379.0,39426379.0,39426379.0,39426379.0,39426379.0,39426379.0,39426379.0,39426379.0,39426379.0,39426379.0,39426379.0,39426379.0,39426379.0,39426379.0,39426379.0,39426379.0,39426379.0
max_demand,1102277.0,16868038.0,14569064.0,11118670.0,10219828.0,17495973.0,16395632.0,12967068.0,19514990.0,21514814.0,24833565.0,21471986.0,25562560.0,3349553.0,4504468.0,11818820.0,9778827.0,13103002.0,9294765.0,13009271.0,15455702.0,24930945.0
cost,654575573.3,7109404027.7,7310022501.9,7166969247.5,6669026339.5,7937861261.2,6859915908.9,6895719751.2,7663071610.4,7518076753.4,7511359126.6,7678453230.8,7622367034.3,4141889850.3,5626458389.8,6285945964.4,6322194047.2,6757108790.2,6073687678.9,6260170046.7,7122212394.8,7767422069.6
run_time,0.0,959.1999999999986,859.8899999999983,527.0700000000012,636.049999999998,541.5000000000038,541.1900000000016,521.4400000000029,481.65000000000487,586.9699999999966,589.05,675.7099999999981,649.8999999999994,625.2799999999954,569.6499999999986,559.0700000000002,691.8999999999969,491.6900000000056,720.9699999999963,803.8999999999976,765.3799999999997,629.2599999999989
objective,654575573.3,7111294640.7,7311991221.9,7168682537.5,6670462172.5,7940105240.2,6862358829.9,6897237518.2,7664579650.4,7520338915.4,7513559143.6,7680499329.8,7623941883.3,4142127371.3,5626995983.8,6287498512.4,6323135299.2,6758673639.2,6074476189.9,6261124352.7,7124239178.8,7769982574.6
