,max_demand,PAR,objective,cost,inconvenient,step_size,reschedule_time
0,69840.0,0.51,53447333.4,53447333.4,0,1.0,647.000000000013
1,68201.78704732205,0.53,51137089.12,51137089.12,0,0.6080000000000003,647.000000000013
2,69092.78496024753,0.52,50474968.66,50474968.66,0,0.5130000000000002,647.000000000013
3,68200.13209484251,0.53,46036926.14,46036926.14,0,0.48100000000000026,647.000000000013
4,68266.2696010402,0.52,43177269.05,43177269.05,0,0.4070000000000002,647.000000000013
5,65914.83533432013,0.54,42347559.17,42347559.17,0,0.5140000000000002,647.000000000013
6,66070.04937679293,0.54,40413037.7,40413037.7,0,0.6260000000000003,647.000000000013
7,63483.47009936276,0.56,39417511.27,39417511.27,0,0.4970000000000003,647.000000000013
8,67452.45897707035,0.53,37530521.0,37530521.0,0,0.49400000000000027,647.000000000013
9,63444.486830541406,0.56,35877271.65,35877271.65,0,0.4170000000000002,647.000000000013
10,67471.00149365795,0.53,35151743.16,35151743.16,0,0.3210000000000001,647.000000000013
11,65835.01479442022,0.54,34488338.2,34488338.2,0,0.3170000000000001,647.000000000013
12,63235.64821339481,0.57,33215993.2,33215993.2,0,0.36900000000000016,647.000000000013
13,63965.65445252553,0.56,31485096.99,31485096.99,0,0.2750000000000001,647.000000000013
14,61727.31735691772,0.58,31212627.18,31212627.18,0,0.2750000000000001,647.000000000013
15,64105.41206947555,0.56,30630913.86,30630913.86,0,0.23000000000000007,647.000000000013
16,63331.121372189446,0.57,30543231.54,30543231.54,0,0.26400000000000007,647.000000000013
17,61117.2039407992,0.59,30455094.75,30455094.75,0,0.3550000000000001,647.000000000013
18,63517.98734707973,0.56,30147064.27,30147064.27,0,0.25600000000000006,647.000000000013
19,62873.69630648735,0.57,29742053.61,29742053.61,0,0.3000000000000001,647.000000000013
20,62510.13810015607,0.57,29029106.45,29029106.45,0,0.23700000000000007,647.000000000013
21,61796.47673505324,0.58,28735626.24,28735626.24,0,0.2,647.000000000013
22,58786.607365273136,0.61,28468378.12,28468378.12,0,0.2720000000000001,647.000000000013
23,60552.92867544201,0.59,28458426.52,28458426.52,0,0.2750000000000001,647.000000000013
24,58019.316826710696,0.62,28019856.23,28019856.23,0,0.25300000000000006,647.000000000013
25,60673.96663188829,0.59,27711130.51,27711130.51,0,0.19000000000000003,647.000000000013
26,58017.839592148404,0.62,27646855.16,27646855.16,0,0.2360000000000001,647.000000000013
27,58021.7004640465,0.62,27545400.11,27545400.11,0,0.2690000000000001,647.000000000013
28,57327.20348942124,0.62,27248739.34,27248739.34,0,0.20800000000000005,647.000000000013
29,59557.45476024396,0.6,27200644.96,27200644.96,0,0.11499999999999999,647.000000000013
30,57043.679618143295,0.63,27006250.58,27006250.58,0,0.23700000000000007,647.000000000013
31,55927.267125160775,0.64,26740803.41,26740803.41,0,0.20500000000000004,647.000000000013
32,56381.24410491583,0.64,26591064.28,26591064.28,0,0.202,647.000000000013
33,57031.02184431732,0.63,26527854.9,26527854.9,0,0.147,647.000000000013
34,57191.92369172839,0.63,26441590.39,26441590.39,0,0.18,647.000000000013
35,53127.85799776784,0.67,26362591.04,26362591.04,0,0.18100000000000002,647.000000000013
36,55637.29320538177,0.64,26273969.05,26273969.05,0,0.19800000000000004,647.000000000013
37,53813.09715926604,0.67,26227077.76,26227077.76,0,0.21800000000000003,647.000000000013
38,55740.96130645038,0.64,25874390.04,25874390.04,0,0.10599999999999998,647.000000000013
39,54376.987926836024,0.66,25738648.69,25738648.69,0,0.086,647.000000000013
40,52166.33828555151,0.69,25715673.65,25715673.65,0,0.127,647.000000000013
41,53969.25912334845,0.66,25714552.17,25714552.17,0,0.08,647.000000000013
42,50992.954030671346,0.7,25591165.45,25591165.45,0,0.11699999999999998,647.000000000013
43,50194.36057815598,0.71,25575648.63,25575648.63,0,0.148,647.000000000013
44,50829.49345252018,0.7,25441065.05,25441065.05,0,0.062,647.000000000013
45,50072.37860294847,0.72,25438438.85,25438438.85,0,0.071,647.000000000013
46,48457.13418631917,0.74,25375561.44,25375561.44,0,0.05,647.000000000013
47,49437.10251652868,0.72,25362767.21,25362767.21,0,0.049,647.000000000013
48,48153.00097633909,0.74,25349589.64,25349589.64,0,0.06999999999999999,647.000000000013
49,48313.70108632332,0.74,25331078.9,25331078.9,0,0.063,647.000000000013
50,48005.96299099608,0.75,25328053.09,25328053.09,0,0.05,647.000000000013
51,47503.38439809512,0.75,25291730.78,25291730.78,0,0.011,647.000000000013
52,47362.004927411086,0.76,25252108.08,25252108.08,0,0.038,647.000000000013
53,46892.238873209564,0.76,25245519.41,25245519.41,0,0.011,647.000000000013
54,136464.0,0.26,25245519.41,25245519.41,0,0.0,647.000000000013
