,max_demand,PAR,objective,cost,inconvenient,step_size,reschedule_time
0,69840.0,0.51,53447333.4,53447333.4,0,1.0,1.7362695310048686
1,69916.47450612001,0.51,51373944.9,51373944.9,0,0.6720000000000004,1.7362695310048686
2,68096.97003322809,0.53,46671739.91,46671739.91,0,0.7180000000000004,1.7362695310048686
3,76045.11975508094,0.47,45707850.3,45707850.3,0,0.5900000000000003,1.7362695310048686
4,69797.93649514114,0.51,45702545.23,45702545.23,0,0.8480000000000005,1.7362695310048686
5,68257.50438230898,0.52,42710965.25,42710965.25,0,0.5790000000000003,1.7362695310048686
6,67047.28537346158,0.53,42684805.32,42684805.32,0,0.8150000000000005,1.7362695310048686
7,67151.64268212688,0.53,42006685.78,42006685.78,0,0.5240000000000002,1.7362695310048686
8,66215.42817468225,0.54,39387616.41,39387616.41,0,0.8480000000000005,1.7362695310048686
9,66020.25625884632,0.54,35995559.64,35995559.64,0,0.48200000000000026,1.7362695310048686
10,62620.82361407919,0.57,34774636.27,34774636.27,0,0.7550000000000004,1.7362695310048686
11,64908.51469810712,0.55,34584266.17,34584266.17,0,0.5300000000000002,1.7362695310048686
12,64876.82772896026,0.55,33826329.07,33826329.07,0,0.7950000000000005,1.7362695310048686
13,65652.49675589392,0.55,31942136.91,31942136.91,0,0.4020000000000002,1.7362695310048686
14,63588.349239554256,0.56,30855267.1,30855267.1,0,0.6590000000000004,1.7362695310048686
15,64408.65258671209,0.56,30236302.65,30236302.65,0,0.2940000000000001,1.7362695310048686
16,61513.476340389134,0.58,30134482.57,30134482.57,0,0.5270000000000002,1.7362695310048686
17,59253.871079929624,0.6,30034874.95,30034874.95,0,0.49200000000000027,1.7362695310048686
18,59773.687040948156,0.6,29329276.48,29329276.48,0,0.6000000000000003,1.7362695310048686
19,58747.62768547331,0.61,28848415.16,28848415.16,0,0.46800000000000025,1.7362695310048686
20,58148.34581757113,0.62,28750115.89,28750115.89,0,0.5750000000000003,1.7362695310048686
21,59575.56181417276,0.6,28040981.26,28040981.26,0,0.4690000000000003,1.7362695310048686
22,60605.15013201617,0.59,27940850.42,27940850.42,0,0.47800000000000026,1.7362695310048686
23,59175.92929211941,0.61,26973313.24,26973313.24,0,0.23300000000000007,1.7362695310048686
24,56290.709923580485,0.64,26853203.11,26853203.11,0,0.5600000000000003,1.7362695310048686
25,56844.64264789227,0.63,26816011.3,26816011.3,0,0.34700000000000014,1.7362695310048686
26,57022.58804942699,0.63,26717978.53,26717978.53,0,0.37800000000000017,1.7362695310048686
27,56579.20672827233,0.63,26711655.79,26711655.79,0,0.3090000000000001,1.7362695310048686
28,55750.11961688423,0.64,26553339.5,26553339.5,0,0.36700000000000016,1.7362695310048686
29,57630.696622577205,0.62,26498074.64,26498074.64,0,0.2920000000000001,1.7362695310048686
30,54659.743342863636,0.66,26405231.23,26405231.23,0,0.3240000000000001,1.7362695310048686
31,55480.159732636814,0.65,26010065.93,26010065.93,0,0.23900000000000005,1.7362695310048686
32,53768.17547279583,0.67,25972188.93,25972188.93,0,0.2890000000000001,1.7362695310048686
33,56088.41210328456,0.64,25962410.54,25962410.54,0,0.18200000000000002,1.7362695310048686
34,53456.05721552988,0.67,25916572.02,25916572.02,0,0.2280000000000001,1.7362695310048686
35,54146.53320169179,0.66,25683903.88,25683903.88,0,0.20900000000000005,1.7362695310048686
36,51921.22182642404,0.69,25590585.65,25590585.65,0,0.229,1.7362695310048686
37,55303.380217350845,0.65,25526608.86,25526608.86,0,0.148,1.7362695310048686
38,81856.0,0.44,25526608.86,25526608.86,0,0.0,1.7362695310048686
39,83556.0,0.43,25526608.86,25526608.86,0,0.0,1.7362695310048686
40,86276.0,0.42,25526608.86,25526608.86,0,0.0,1.7362695310048686
41,84556.0,0.42,25526608.86,25526608.86,0,0.0,1.7362695310048686
42,82556.0,0.43,25526608.86,25526608.86,0,0.0,1.7362695310048686
43,89056.0,0.4,25526608.86,25526608.86,0,0.0,1.7362695310048686
44,89260.0,0.4,25526608.86,25526608.86,0,0.0,1.7362695310048686
45,86276.0,0.42,25526608.86,25526608.86,0,0.0,1.7362695310048686
46,85204.0,0.42,25526608.86,25526608.86,0,0.0,1.7362695310048686
47,90556.0,0.4,25526608.86,25526608.86,0,0.0,1.7362695310048686
48,87756.0,0.41,25526608.86,25526608.86,0,0.0,1.7362695310048686
49,82656.0,0.43,25526608.86,25526608.86,0,0.0,1.7362695310048686
50,84890.0,0.42,25526608.86,25526608.86,0,0.0,1.7362695310048686
51,86656.0,0.41,25526608.86,25526608.86,0,0.0,1.7362695310048686
52,95495.0,0.38,25526608.86,25526608.86,0,0.0,1.7362695310048686
53,85578.0,0.42,25526608.86,25526608.86,0,0.0,1.7362695310048686
54,87458.0,0.41,25526608.86,25526608.86,0,0.0,1.7362695310048686
